cps19_gender,cps19_province,cps19_education,cps19_yob,cps19_votechoice,cps19_interest_elxn_1,cps19_v_likely
A man,Nova Scotia,Bachelor's degree,1953,Liberal Party,7,Certain to vote
A woman,Ontario,Some university,1968,Liberal Party,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1963,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Ontario,Bachelor's degree,1959,Liberal Party,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1979,Green Party,7,Certain to vote
A woman,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1990,ndp,7,Certain to vote
A woman,Ontario,Some university,1943,Liberal Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1969,ndp,5,Likely to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1967,Liberal Party,5,Certain to vote
A woman,Ontario,Completed secondary/ high school,1950,Conservative Party,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1991,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,1958,Liberal Party,6,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1968,Conservative Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1956,Don't know/ Prefer not to answer,7,Likely to vote
A man,Ontario,Some secondary/ high school,1951,Liberal Party,9,Certain to vote
A woman,Ontario,Completed secondary/ high school,1989,Green Party,3,Likely to vote
A woman,Ontario,Completed secondary/ high school,1952,Conservative Party,5,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1951,Liberal Party,8,Certain to vote
A man,Quebec,Completed secondary/ high school,1966,NA,4,donot know
A woman,Quebec,Completed secondary/ high school,1992,Conservative Party,7,Certain to vote
A man,Ontario,Master's degree,1962,Liberal Party,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1952,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1962,Don't know/ Prefer not to answer,NA,Certain to vote
A woman,Ontario,Bachelor's degree,1956,Liberal Party,9,Certain to vote
A woman,Quebec,Completed secondary/ high school,1962,Liberal Party,8,Certain to vote
A woman,Nova Scotia,Master's degree,1953,Conservative Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1992,Conservative Party,7,Certain to vote
A man,Ontario,Bachelor's degree,1946,Conservative Party,4,Certain to vote
A man,Ontario,Bachelor's degree,1957,Green Party,7,Certain to vote
A man,Quebec,Completed secondary/ high school,1962,Liberal Party,9,Certain to vote
A woman,Ontario,Completed secondary/ high school,1980,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1975,Conservative Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1967,Conservative Party,9,Certain to vote
A man,Ontario,Professional degree or doctorate,1978,Conservative Party,2,Likely to vote
A man,Quebec,Bachelor's degree,1952,ndp,6,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1965,NA,2,donot know
A man,Ontario,Master's degree,1966,Liberal Party,9,Certain to vote
A man,Ontario,Master's degree,1957,Conservative Party,6,Certain to vote
A woman,Ontario,Professional degree or doctorate,1956,Don't know/ Prefer not to answer,7,Certain to vote
A woman,Quebec,Bachelor's degree,1983,Liberal Party,7,Certain to vote
A man,Quebec,Bachelor's degree,1942,Bloc Québécois,8,Certain to vote
A woman,Quebec,Completed secondary/ high school,1948,Bloc Québécois,NA,Certain to vote
A woman,Nova Scotia,Some university,1948,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Nova Scotia,Some secondary/ high school,1962,Conservative Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1959,Conservative Party,10,Certain to vote
A man,Quebec,Some secondary/ high school,1981,Don't know/ Prefer not to answer,NA,Certain to vote
A man,Ontario,Bachelor's degree,1956,Liberal Party,8,Certain to vote
A man,Ontario,Professional degree or doctorate,1932,Conservative Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1978,Don't know/ Prefer not to answer,3,Likely to vote
A woman,Ontario,Professional degree or doctorate,1975,Liberal Party,10,Certain to vote
A man,Quebec,Bachelor's degree,1976,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Quebec,Bachelor's degree,1978,Liberal Party,6,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1948,Don't know/ Prefer not to answer,4,Likely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1973,Liberal Party,6,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1969,Liberal Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1957,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1964,Don't know/ Prefer not to answer,8,Certain to vote
A man,Ontario,Completed secondary/ high school,1945,Conservative Party,10,Certain to vote
A man,Nova Scotia,Bachelor's degree,1971,People's Party,2,Likely to vote
A woman,Nova Scotia,Bachelor's degree,1971,Liberal Party,10,Certain to vote
A woman,Quebec,Some university,1962,Liberal Party,7,Certain to vote
A woman,Ontario,Some university,1998,ndp,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1971,Liberal Party,9,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1984,Conservative Party,6,Likely to vote
A woman,British Columbia,Bachelor's degree,1960,ndp,10,Certain to vote
A woman,Nova Scotia,Some secondary/ high school,1955,Liberal Party,9,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1968,Don't know/ Prefer not to answer,3,Certain to vote
A woman,New Brunswick,Bachelor's degree,1946,Conservative Party,7,Certain to vote
A man,Ontario,Bachelor's degree,1957,Green Party,9,Certain to vote
A woman,New Brunswick,Some secondary/ high school,1960,Liberal Party,7,Likely to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1975,Conservative Party,8,Certain to vote
A man,Ontario,Bachelor's degree,1953,Liberal Party,9,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1957,Liberal Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1971,Conservative Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1990,Liberal Party,9,Certain to vote
A woman,Ontario,Bachelor's degree,1994,Conservative Party,5,Likely to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1968,Liberal Party,9,Certain to vote
A woman,Quebec,Bachelor's degree,1985,Conservative Party,8,Likely to vote
A man,Ontario,Professional degree or doctorate,1947,Conservative Party,10,Certain to vote
A man,Nova Scotia,Bachelor's degree,1964,Don't know/ Prefer not to answer,8,Certain to vote
A man,Quebec,Bachelor's degree,1948,Liberal Party,7,Certain to vote
A man,Quebec,Bachelor's degree,1969,Don't know/ Prefer not to answer,4,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1960,Conservative Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1990,ndp,10,Certain to vote
A woman,Ontario,Master's degree,1954,Conservative Party,7,Certain to vote
A woman,Quebec,Completed secondary/ high school,1975,Bloc Québécois,7,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1951,Liberal Party,9,Certain to vote
A man,Quebec,Completed secondary/ high school,1955,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Ontario,Bachelor's degree,1987,Don't know/ Prefer not to answer,6,Certain to vote
A woman,Ontario,Bachelor's degree,1966,Don't know/ Prefer not to answer,3,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1953,Don't know/ Prefer not to answer,1,Certain to vote
A man,Ontario,Bachelor's degree,1977,ndp,8,Certain to vote
A woman,Manitoba,Bachelor's degree,1980,Conservative Party,9,Certain to vote
A woman,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",1974,Conservative Party,NA,Certain to vote
A man,Ontario,Bachelor's degree,1957,Conservative Party,9,Certain to vote
A man,Alberta,Bachelor's degree,1981,ndp,8,Certain to vote
A woman,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",1988,Green Party,3,Certain to vote
A woman,British Columbia,Completed secondary/ high school,1962,ndp,6,Certain to vote
A man,Manitoba,Completed secondary/ high school,1980,ndp,10,Likely to vote
A man,Ontario,Completed elementary school,1976,NA,3,Certain not to vote
A man,Ontario,Completed secondary/ high school,1984,Conservative Party,7,Certain to vote
A woman,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1992,People's Party,4,Certain to vote
A man,Ontario,Completed secondary/ high school,1962,Don't know/ Prefer not to answer,5,Likely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1973,Liberal Party,3,Certain to vote
A man,Ontario,Completed secondary/ high school,1966,Liberal Party,6,Certain to vote
A woman,Ontario,Bachelor's degree,1954,Green Party,6,Certain to vote
A man,Ontario,Completed secondary/ high school,1942,Conservative Party,10,Certain to vote
A woman,Ontario,Bachelor's degree,1992,Liberal Party,7,Certain to vote
A woman,Ontario,Bachelor's degree,1990,ndp,7,Likely to vote
A man,Ontario,Bachelor's degree,1987,Another party (please specify),8,Certain to vote
A man,Alberta,Some secondary/ high school,1995,Conservative Party,5,Likely to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1947,Conservative Party,8,Certain to vote
A woman,New Brunswick,"Some technical, community college, CEGEP, College Classique",1995,Don't know/ Prefer not to answer,2,Likely to vote
A woman,Quebec,Some university,1948,Liberal Party,7,Certain to vote
A man,Alberta,Some secondary/ high school,1979,Conservative Party,8,Likely to vote
A woman,Nova Scotia,Some university,1964,Liberal Party,10,Certain to vote
A woman,Quebec,Some university,1970,Green Party,6,Certain to vote
A man,British Columbia,Completed secondary/ high school,1993,People's Party,3,Likely to vote
A woman,Ontario,Completed secondary/ high school,1972,NA,4,donot know
A man,Quebec,Completed secondary/ high school,1954,Green Party,8,Certain to vote
A man,Quebec,Bachelor's degree,1963,NA,1,Certain not to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1962,ndp,6,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1963,Liberal Party,9,Certain to vote
A woman,Ontario,Completed secondary/ high school,1956,Liberal Party,10,Certain to vote
A woman,Alberta,Professional degree or doctorate,1945,ndp,8,Certain to vote
A man,Ontario,Some university,1978,Liberal Party,10,Certain to vote
A man,Manitoba,Bachelor's degree,1952,Green Party,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1956,Liberal Party,8,Certain to vote
A man,Quebec,Master's degree,1956,Liberal Party,9,Certain to vote
A man,Saskatchewan,Completed secondary/ high school,1938,Liberal Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1958,Conservative Party,9,Certain to vote
A woman,Alberta,Bachelor's degree,1990,ndp,7,Certain to vote
A woman,Ontario,Some secondary/ high school,1959,Conservative Party,NA,Likely to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1950,Conservative Party,10,Certain to vote
A man,British Columbia,Completed secondary/ high school,1956,Conservative Party,8,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1948,Liberal Party,8,Certain to vote
A man,Quebec,Some university,1954,ndp,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1992,Liberal Party,5,Certain to vote
A woman,Ontario,Completed secondary/ high school,1954,Green Party,7,Certain to vote
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,Completed secondary/ high school,1954,ndp,7,Likely to vote
A woman,Quebec,Some university,1986,Liberal Party,5,Likely to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1978,Don't know/ Prefer not to answer,4,Likely to vote
A woman,Ontario,Completed secondary/ high school,1962,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Ontario,Completed secondary/ high school,1978,Liberal Party,4,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1947,Conservative Party,9,Certain to vote
A woman,Ontario,Completed secondary/ high school,1943,Don't know/ Prefer not to answer,8,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1966,Liberal Party,8,Likely to vote
A man,Alberta,Master's degree,1942,Liberal Party,NA,Certain to vote
A man,Nova Scotia,Bachelor's degree,1976,Conservative Party,10,Certain to vote
A woman,Nova Scotia,Bachelor's degree,1964,Liberal Party,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1950,ndp,9,Certain to vote
A man,Ontario,Master's degree,1988,Conservative Party,9,Certain to vote
A man,Saskatchewan,Some secondary/ high school,1946,Conservative Party,9,Certain to vote
A woman,Saskatchewan,Bachelor's degree,1959,Liberal Party,8,Certain to vote
A man,Quebec,Bachelor's degree,1976,Conservative Party,8,Certain to vote
A man,Ontario,Bachelor's degree,1948,Don't know/ Prefer not to answer,7,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1951,Liberal Party,10,Certain to vote
A man,Newfoundland and Labrador,Completed elementary school,1943,Liberal Party,8,Certain to vote
A man,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1990,Conservative Party,6,Certain to vote
A woman,Ontario,Some elementary school,1963,ndp,5,Certain to vote
A woman,New Brunswick,Bachelor's degree,1936,Liberal Party,7,Certain to vote
A woman,Ontario,Master's degree,1959,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Bachelor's degree,1949,Green Party,5,Certain to vote
A man,Ontario,Bachelor's degree,1960,ndp,10,Likely to vote
A woman,Ontario,Some university,1961,Green Party,8,Certain to vote
A woman,Manitoba,Bachelor's degree,1967,Liberal Party,8,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1953,Liberal Party,7,Certain to vote
A woman,Ontario,Bachelor's degree,1990,Conservative Party,9,Certain to vote
A man,Ontario,Master's degree,1958,Conservative Party,8,Certain to vote
A woman,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",1983,NA,2,Unlikely to vote
A woman,Quebec,Bachelor's degree,1967,Liberal Party,8,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1976,ndp,9,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1961,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1945,Conservative Party,8,Certain to vote
A man,Nova Scotia,Bachelor's degree,1972,ndp,8,Certain to vote
A woman,Nova Scotia,Some university,1960,Don't know/ Prefer not to answer,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1946,Conservative Party,6,Certain to vote
A woman,Ontario,Bachelor's degree,1947,Liberal Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1958,Don't know/ Prefer not to answer,10,Certain to vote
A man,Ontario,Bachelor's degree,1960,Liberal Party,7,Certain to vote
A woman,British Columbia,Some secondary/ high school,1954,Conservative Party,5,Certain to vote
A woman,Alberta,Bachelor's degree,1950,Conservative Party,7,Certain to vote
A woman,Yukon,Some university,1952,Liberal Party,8,Certain to vote
A woman,Ontario,Master's degree,1946,Conservative Party,10,Certain to vote
A woman,Ontario,Master's degree,1974,Conservative Party,10,Certain to vote
A man,Manitoba,Some university,1961,Don't know/ Prefer not to answer,6,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1960,Conservative Party,10,Certain to vote
A man,Alberta,Completed secondary/ high school,1986,Conservative Party,9,Certain to vote
A man,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",1948,Conservative Party,7,Likely to vote
A man,British Columbia,Some university,1943,Liberal Party,7,Certain to vote
A man,Manitoba,Bachelor's degree,1950,Don't know/ Prefer not to answer,6,Certain to vote
A man,Ontario,Bachelor's degree,1963,Liberal Party,10,Certain to vote
A man,Ontario,Completed secondary/ high school,1959,Don't know/ Prefer not to answer,5,Certain to vote
A man,Alberta,Completed secondary/ high school,1954,Conservative Party,10,Certain to vote
A man,Ontario,Professional degree or doctorate,1959,Liberal Party,10,Certain to vote
A woman,Ontario,Some university,1990,People's Party,7,Certain to vote
A woman,Ontario,Bachelor's degree,1954,Liberal Party,6,Certain to vote
A woman,Ontario,Completed elementary school,1964,Liberal Party,9,Certain to vote
A man,Alberta,Some secondary/ high school,1944,Conservative Party,9,Certain to vote
A man,Ontario,Some secondary/ high school,1970,ndp,7,Certain to vote
A woman,Alberta,Completed secondary/ high school,1952,Don't know/ Prefer not to answer,6,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1960,NA,2,Certain not to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1952,Conservative Party,8,Certain to vote
A woman,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1971,Don't know/ Prefer not to answer,2,Likely to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1956,Don't know/ Prefer not to answer,8,Certain to vote
A woman,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",1953,Liberal Party,10,Certain to vote
A woman,Ontario,Some secondary/ high school,1962,Conservative Party,10,Certain to vote
A woman,Nova Scotia,Completed secondary/ high school,1960,Liberal Party,7,Likely to vote
A woman,Ontario,Bachelor's degree,1953,Liberal Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1952,Conservative Party,10,Certain to vote
A man,Ontario,Some university,1938,Liberal Party,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1984,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Nova Scotia,Bachelor's degree,1957,Don't know/ Prefer not to answer,7,Certain to vote
A woman,Ontario,Some university,1957,Conservative Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1942,Conservative Party,10,Certain to vote
A woman,Ontario,Professional degree or doctorate,1964,Conservative Party,6,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1948,ndp,8,Certain to vote
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Manitoba,Completed secondary/ high school,1950,Green Party,10,Certain to vote
A man,Nova Scotia,Completed secondary/ high school,1953,Conservative Party,1,Certain to vote
A man,Manitoba,Some university,1943,ndp,10,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1945,Conservative Party,8,Certain to vote
A man,Ontario,Completed elementary school,1984,Green Party,7,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1968,Liberal Party,9,Certain to vote
A man,Ontario,Completed secondary/ high school,1967,Conservative Party,10,Certain to vote
A man,British Columbia,Master's degree,1947,Conservative Party,10,Certain to vote
A man,Manitoba,Some university,1952,ndp,7,Certain to vote
A man,Manitoba,Completed secondary/ high school,1952,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1950,Conservative Party,8,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1957,NA,5,donot know
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1954,Liberal Party,10,Certain to vote
A woman,Alberta,"Completed technical, community college, CEGEP, College Classique",1952,Conservative Party,9,Certain to vote
A man,Quebec,Master's degree,1941,Liberal Party,9,Certain to vote
A woman,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1980,Conservative Party,9,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1965,Conservative Party,10,Certain to vote
A woman,Ontario,Bachelor's degree,1955,Conservative Party,9,Certain to vote
A woman,Saskatchewan,Completed secondary/ high school,1962,Conservative Party,8,Certain to vote
A man,Manitoba,Bachelor's degree,1977,Don't know/ Prefer not to answer,4,Likely to vote
A woman,British Columbia,Bachelor's degree,1920,Liberal Party,3,Certain to vote
A man,Ontario,Completed secondary/ high school,1950,ndp,10,Certain to vote
A man,Manitoba,Completed secondary/ high school,1957,Conservative Party,8,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1952,Green Party,5,Certain to vote
A man,Ontario,Completed secondary/ high school,1971,ndp,7,Likely to vote
A woman,Alberta,Some university,1958,ndp,10,Certain to vote
A woman,Manitoba,Completed secondary/ high school,1958,Conservative Party,10,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1964,Liberal Party,6,Certain to vote
A man,New Brunswick,"Completed technical, community college, CEGEP, College Classique",1963,Liberal Party,7,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1954,Liberal Party,7,Certain to vote
A woman,Alberta,"Completed technical, community college, CEGEP, College Classique",1964,Conservative Party,6,Certain to vote
A woman,Alberta,Professional degree or doctorate,1965,Conservative Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1998,People's Party,10,Certain to vote
A man,Alberta,"Completed technical, community college, CEGEP, College Classique",1950,ndp,7,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1971,Green Party,9,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1951,Liberal Party,9,Certain to vote
A man,British Columbia,Completed secondary/ high school,1938,Conservative Party,10,Certain to vote
A woman,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",1940,Liberal Party,8,Certain to vote
A woman,Alberta,Completed secondary/ high school,1957,Conservative Party,10,Certain to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1980,NA,1,Certain not to vote
A man,Ontario,Completed secondary/ high school,1986,NA,10,Certain not to vote
A woman,Ontario,Bachelor's degree,1965,Liberal Party,7,Certain to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1961,Don't know/ Prefer not to answer,1,Likely to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1966,Don't know/ Prefer not to answer,7,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1933,Conservative Party,9,Certain to vote
A man,Ontario,Master's degree,1974,Conservative Party,8,Certain to vote
A man,Alberta,"Completed technical, community college, CEGEP, College Classique",1965,Conservative Party,6,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1944,Conservative Party,10,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1958,Conservative Party,9,Certain to vote
A woman,Alberta,Completed elementary school,1964,NA,1,Unlikely to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1981,ndp,3,Likely to vote
A man,Ontario,"Some technical, community college, CEGEP, College Classique",1976,ndp,8,Certain to vote
A woman,Quebec,Completed secondary/ high school,1955,Liberal Party,8,Certain to vote
A woman,Manitoba,Completed secondary/ high school,1963,Conservative Party,1,Likely to vote
A man,Manitoba,Master's degree,1981,NA,3,donot know
A woman,New Brunswick,"Some technical, community college, CEGEP, College Classique",1979,Liberal Party,5,Likely to vote
A man,Ontario,Bachelor's degree,1993,Liberal Party,8,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1959,Green Party,3,Likely to vote
A man,Manitoba,Bachelor's degree,1973,Conservative Party,10,Certain to vote
A man,Ontario,Completed elementary school,1976,ndp,8,Certain to vote
A woman,British Columbia,"Some technical, community college, CEGEP, College Classique",1998,ndp,9,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1962,Liberal Party,6,Likely to vote
A man,Manitoba,"Some technical, community college, CEGEP, College Classique",1960,Liberal Party,9,Certain to vote
A man,Ontario,Some secondary/ high school,1954,Liberal Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1953,Conservative Party,10,Certain to vote
A man,Alberta,Some university,1951,NA,2,Unlikely to vote
A man,Ontario,Completed secondary/ high school,1955,ndp,4,Certain to vote
A woman,British Columbia,Master's degree,1947,Green Party,9,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1947,Liberal Party,6,Certain to vote
A woman,Ontario,Master's degree,1945,Liberal Party,10,Certain to vote
A man,Alberta,Completed secondary/ high school,1963,Green Party,NA,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1956,Conservative Party,5,Certain to vote
A woman,Quebec,"Some technical, community college, CEGEP, College Classique",1980,Liberal Party,8,Certain to vote
A woman,Alberta,Bachelor's degree,1955,Conservative Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1967,NA,6,donot know
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1967,Liberal Party,10,Certain to vote
A man,Ontario,Bachelor's degree,1959,Liberal Party,5,Certain to vote
A man,Alberta,Bachelor's degree,1976,Conservative Party,9,Certain to vote
A man,Quebec,"Completed technical, community college, CEGEP, College Classique",1970,Don't know/ Prefer not to answer,2,Likely to vote
A man,Ontario,Completed secondary/ high school,1958,Conservative Party,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1989,NA,7,Unlikely to vote
A woman,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",1982,Liberal Party,4,Likely to vote
A man,Nova Scotia,Professional degree or doctorate,1945,Liberal Party,9,Certain to vote
A woman,New Brunswick,Master's degree,1973,Liberal Party,10,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1958,NA,10,Certain not to vote
A man,British Columbia,Master's degree,1943,Conservative Party,9,Certain to vote
A woman,Manitoba,"Completed technical, community college, CEGEP, College Classique",1964,Liberal Party,7,Certain to vote
A woman,Alberta,Bachelor's degree,1961,Don't know/ Prefer not to answer,7,Certain to vote
A woman,Ontario,"Completed technical, community college, CEGEP, College Classique",1960,Liberal Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1959,Don't know/ Prefer not to answer,10,Certain to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1945,Conservative Party,10,Certain to vote
A woman,Ontario,Master's degree,1983,Liberal Party,7,Likely to vote
A man,Alberta,Master's degree,1967,Conservative Party,10,Certain to vote
A man,British Columbia,Some secondary/ high school,1954,Conservative Party,9,Certain to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1976,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Master's degree,1949,Another party (please specify),10,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1969,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1951,Conservative Party,10,Certain to vote
A man,Alberta,Bachelor's degree,1953,Conservative Party,10,Certain to vote
A woman,British Columbia,Bachelor's degree,1949,ndp,7,Certain to vote
A man,Alberta,Completed secondary/ high school,1962,Conservative Party,9,Certain to vote
A man,Alberta,Completed secondary/ high school,1951,Conservative Party,10,Certain to vote
A woman,New Brunswick,Some university,1944,Conservative Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1959,Don't know/ Prefer not to answer,8,Likely to vote
A woman,British Columbia,"Completed technical, community college, CEGEP, College Classique",1942,ndp,9,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1955,Conservative Party,6,Certain to vote
A woman,British Columbia,"Some technical, community college, CEGEP, College Classique",1996,Liberal Party,5,Likely to vote
A woman,Saskatchewan,Bachelor's degree,1984,Conservative Party,5,Likely to vote
A woman,Alberta,Completed secondary/ high school,1957,Conservative Party,7,Likely to vote
A man,British Columbia,Bachelor's degree,1946,Liberal Party,8,Certain to vote
A man,Alberta,Bachelor's degree,1947,Conservative Party,10,Certain to vote
A man,British Columbia,Master's degree,1946,Liberal Party,8,Certain to vote
A woman,British Columbia,"Some technical, community college, CEGEP, College Classique",1954,Conservative Party,3,Likely to vote
A woman,Nova Scotia,"Some technical, community college, CEGEP, College Classique",1972,Liberal Party,7,Certain to vote
A man,Quebec,Bachelor's degree,1948,Liberal Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1954,Conservative Party,7,Certain to vote
A woman,Alberta,Bachelor's degree,1969,NA,5,donot know
A woman,Quebec,Completed secondary/ high school,1953,Bloc Québécois,5,Certain to vote
A man,Alberta,Bachelor's degree,1976,Liberal Party,NA,Certain to vote
A woman,British Columbia,Bachelor's degree,1954,Liberal Party,10,Certain to vote
A woman,Alberta,Completed secondary/ high school,1958,Conservative Party,10,Certain to vote
